gene	IAE_mean	IBI_mean	IAE_minus_IBI
ATG7	2.532454134213417	0.578080282969773	1.954373851243644
CFD	2.2796732518069884	0.3263292976719996	1.9533439541349888
TNFSF12	1.8103735965731216	-0.1404953550640837	1.9508689516372053
SH2D1B	-0.031997443592895136	1.9126835279752463	-1.9446809715681415
NFATC4	1.8261242863195388	-0.11395038137394402	1.9400746676934828
PRF1	1.81398871298784	-0.11989432140608007	1.9338830343939202
SELE	2.1360460409567965	0.2034725791280184	1.9325734618287782
IL10RA	2.400452595006205	0.4731751500705947	1.92727744493561
CLEC5A	1.7237945066869576	-0.19964910728704785	1.9234436139740054
SLC11A1	2.451350625405899	0.5284530739349486	1.9228975514709505
MME	1.782382127873391	-0.14028675117838216	1.922668879051773
CD97	1.5565276801402814	-0.356141590959649	1.9126692710999305
KLRC2	-0.13154379868567256	1.7772363466829646	-1.9087801453686373
CCL15	-0.05029046250577329	1.8530309258999136	-1.9033213884056868
CR2	-0.265258834970421	1.6156611424847966	-1.8809199774552177
TIRAP	2.6709054982691085	0.7910436917622272	1.8798618065068813
CXCR2	2.4628673719118	0.5870856281910085	1.8757817437207915
CTLA4	1.4548057088006217	-0.40862897347024973	1.8634346822708714
SERPING1	1.8574411043507748	8.247071720616599e-05	1.8573586336335686
FCER1G	2.4861144714746635	0.6335498063890382	1.8525646650856253
LILRB2	2.7862136160511337	0.9336671959672528	1.8525464200838808
TNFRSF11B	1.856968537128143	0.018697497469063462	1.8382710396590796
LILRA5	2.759104665505199	0.9332655547166362	1.825839110788563
CSF2RB	2.6411188745960237	0.8160598497079598	1.825059024888064
IL13RA2	1.7141388834349751	-0.10998212356800015	1.8241210070029752
BST2	2.329162475113671	0.5238538816523052	1.8053085934613655
MEFV	2.3831132906096055	0.586587080595974	1.7965262100136314
MAP3K5	1.7306437128221817	-0.06363372299873811	1.7942774358209197
HCK	2.6245002759647553	0.8390872418418388	1.7854130341229166
IL1R1	2.617961107702861	0.8346843046012316	1.7832768031016295
MAF	2.546561083187353	0.7649065905901612	1.781654492597192
CCL25	0.21569261862066275	1.993233493850424	-1.7775408752297612
PIK3CD	2.3905819560643593	0.6247427304190333	1.7658392256453261
IL26	-0.2524065574229428	1.5056587849747263	-1.758065342397669
IL12A	-1.459470365776622	0.28102654682070016	-1.740496912597322
IFNL1	0.03345788555033599	1.7677834970017952	-1.7343256114514591
TNFRSF14	1.4408463267309592	-0.2883552783915127	1.729201605122472
CCL13	0.1344041135834322	1.858567944520951	-1.724163830937519
SPA17	-0.12990426862428417	1.592908919153898	-1.7228131877781823
GNLY	1.9547123937193194	0.23927638166579782	1.7154360120535215
CSF1	2.1057991275824404	0.3984379391152981	1.7073611884671422
CD1C	0.04604727330844621	1.752224435424834	-1.7061771621163877
LTB	1.9684785939494018	0.2680300688241412	1.7004485251252606
AMICA1	2.612239548158095	0.912243047573828	1.699996500584267
ITGAL	2.2397926056125677	0.5425151357995165	1.6972774698130513
TGFB1	2.406367889512132	0.7101419353974153	1.6962259541147167
NCF4	2.500175577416918	0.8089213980885894	1.6912541793283284
TLR2	2.547422814469853	0.8609084587777077	1.6865143556921454
IL12B	0.014426432183313964	1.6982340416607646	-1.6838076094774506
TNFRSF4	2.4886297689339516	0.8080154952322786	1.6806142737016732
TNFSF13B	2.5251125179924383	0.8527243934297749	1.6723881245626635
IRF7	2.743656747559143	1.0734872621562903	1.6701694854028528
EBI3	1.5651949920283572	-0.10292597301144889	1.6681209650398061
CD207	0.35774330882626804	2.0258634664315296	-1.6681201576052616
TYK2	1.249553382230874	-0.3959795667258761	1.64553294895675
MASP1	2.161820257111215	0.520554261901152	1.641265995210063
HMGB1	-1.8569497465848106	-0.21605536928104696	-1.6408943773037636
NRP1	2.3637807347068787	0.725297874875347	1.6384828598315315
AXL	2.1733552403603227	0.5361915598047492	1.6371636805555734
MAGEC1	0.27277012088930286	1.9014271483346306	-1.6286570274453278
TLR3	-0.203018683816552	1.4223584821307433	-1.6253771659472953
FCGR2B	2.1751642222546512	0.5531764662961686	1.6219877559584828
IL9	1.1282509952517517	-0.48553291396935555	1.6137839092211073
IFI35	2.1405461367512455	0.5289500419964136	1.611596094754832
TPSAB1	2.2475797078254516	0.6359922160844597	1.611587491740992
CD74	1.4260238243594716	-0.1764190000420527	1.6024428244015243
PLAU	1.4722859628933178	-0.1296560714907918	1.6019420343841095
TLR1	2.379915402064015	0.7781255257216716	1.6017898763423433
