gene	TNT RNA 5	TNT RNA 6	TNT RNA 11	TNT RNA 12	TNT RNA 41	TNT RNA 42	TNT RNA 29	TNT RNA 30	TNT RNA 32	TNT RNA 33	TNT RNA 38	TNT RNA 39
ARG2	2.008701318530627	-0.23080953070644777	0.17296122274107406	-0.50938479253573	-0.47455726589390923	0.608530517025765	0.3241440245888733	0.4309142937930753	-0.7725803607623246	-0.37481094699922035	-2.219275124855749	1.036166645073962
ATF1	1.1828230315387065	0.0707057949977649	0.7164843686243648	0.006443520096286919	0.7832899652447523	0.5064453818354753	-0.3761497994615945	0.40333681788609754	0.060398911903597065	0.22568815563144198	-0.6835080706128128	-2.895958077684074
ATF2	0.5006549335662076	1.3611637868001085	0.3986837067531987	-0.3116236750628693	1.0213310075779278	0.654884628881238	0.19606764199004345	0.28753731105953273	-0.747445005555479	-0.1503169850642802	-0.5305081942782759	-2.6804291566673903
ATG10	-2.2301539479564525	1.4192320209914875	1.2139587200255637	-0.162161250135494	0.30383803653523583	1.5248387825221383	0.08999123806407222	-0.363283214892205	-0.4558819917835544	-0.7186507386126096	-0.44709506254307824	-0.17463259221507862
ATG12	-0.6275063633303147	0.39210421745944785	1.0605520582789099	1.4148508319021074	0.06284943225585202	0.3036728597140504	-0.495494368466064	-0.8066176119623198	0.3627723058958269	-0.2586580794702094	-2.4568497460207803	1.0483244637434623
ATG16L1	-0.5508492204578489	-0.8150470738745603	1.1294903319218417	1.7787595450558145	0.37544859098289485	0.4100467744671645	-0.4479423787942896	0.3176545771492208	0.45077950521579363	0.5624217561417418	-1.2130454713789331	-1.997716936428837
ATG5	0.5179880793113566	-0.4124247273913213	0.8649605745612559	0.21832240637635353	0.7521463196539833	0.6184277100608173	-0.5307180362427245	0.7348310371775588	-0.011450436574273337	0.7143832301030851	-0.6202889652682276	-2.8461771917678567
ATG7	-1.258856005648751	2.7563984220584037	-0.19414460356143587	0.8555092371582428	-0.14668040633503318	-0.08333468461335984	-0.9284008952778	-0.7048663212135129	-0.41673697172603796	0.4852934299710356	-0.486428536979853	0.12224733616810537
ATM	-0.5936685183497026	1.1457512187877448	0.16237347553310194	-0.04818509848388657	-0.15754700456531448	-0.3466149670730817	-1.4697564304073023	-0.23497152443227431	0.37487062224137613	-0.3680837894544956	-1.033522675166667	2.569354691370494
AXL	-0.7790299371871334	2.7959319416052715	-0.44754421768279057	0.32420438424544984	-0.7077605046384806	-0.7774778079952375	-0.0994143482565076	-0.038116688630258765	-1.2929690447733322	0.06329981718622898	0.3839341241491871	0.5749422819776248
BAGE	-0.5787165715963212	0.03622324617731725	0.26058952061378277	0.6967568090077327	-0.8131547811064009	0.19394866468292135	-0.966310333940117	-0.7119900687654654	0.014188524849593834	-0.20007446906570342	-0.8084479509959863	2.8769874101386472
BATF	-0.9648593823190562	1.5097802661227395	-0.6945969126309502	1.8147307775980877	0.6236625955284151	0.671514293069243	-0.7205793212663354	-1.0536388235268133	-0.05583360392275074	-0.8457000312960892	-1.0871820215495278	0.8027021641930226
BAX	0.4065114735764556	0.5757007278461365	0.41307964835276967	0.9314518470954575	-0.3325834221646545	0.3026255362025767	-1.3810876900790743	0.9920799078234797	0.5709845007028927	0.9683206115245205	-1.435096724244349	-2.0119864166362253
BCL10	0.03471531619546164	-0.014001822217400555	0.24037370323980312	0.43583032269878974	0.498089250967775	-0.07477118405455421	-1.6433763394774183	1.8515337818285917	-0.4480682856557194	1.057069557490948	0.07375545304563731	-2.0111497540619188
BCL2	-0.9657699067936213	1.4709475579298479	0.19206363170951832	-0.3868337774672808	-0.31488848480219284	-1.1247372901870032	-1.6135425884925596	-0.1776500152137473	0.7383077306381687	-0.08146513322253471	2.0273843482759837	0.2361839276254394
BCL2L1	0.6183799560781527	0.759830943140662	0.5094044010727448	1.8720274771950893	-0.631225465640766	0.18535175449925786	0.04571458500792337	0.03591575822815873	-0.19734552420564666	0.37746132229961676	-1.422705541587832	-2.152809666087378
BCL6	-0.5154430369119879	1.5260685038459127	-0.6849463618805931	1.2931657062019102	-0.5259417407327972	0.3573336270177497	-0.7318789754562399	-0.5415243338465424	-0.26147727330595083	-0.719689761993459	-1.197990486632757	2.0023241336947595
